ae12d30 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: update lab environment configuration to match production, and remove frontend service
6d4ba91 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: bug fix on nginx
524609f | Cauê Araujo | caue.araujo.ti@gmail.com | feat: add lab environment configuration and Docker setup for isolated testing
688b85e | Cauê Araujo | caue.araujo.ti@gmail.com | wip: ajustes para ambiente lab
4c353b8 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: implement base spell synchronization and import functionality.
0bccb3d | Cauê Araujo | caue.araujo.ti@gmail.com | feat: containerize frontend and unify production docker setup
1329ff9 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: improve campaign ID handling and loading state in character sheet pages
5a5714e | Cauê Araujo | caue.araujo.ti@gmail.com | feat: bug fix on character creation.
6ea7464 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: add .env.production to .gitignore
0f3c02e | Cauê Araujo | caue.araujo.ti@gmail.com | feat: enhance roll request handling and character sheet updates
f7b0757 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: add Base directory copy to Dockerfile
0e8eda8 | Cauê Araujo | caue.araujo.ti@gmail.com | bug fix: fix user roles during registration
fcc469c | Cauê Araujo | caue.araujo.ti@gmail.com | feat(i18n): add localization for spell admin values
06c5c28 | Cauê Araujo | caue.araujo.ti@gmail.com | feat(i18n): update English and Portuguese translations for player board, party, session activity, and shop; add new consumable and healing terms feat(i18n): enhance combat UI translations in Portuguese; include new action types and consumable usage feat(i18n): improve GM and inventory translations in Portuguese; add draft management terms feat(i18n): expand sheet translations in Portuguese; include debug and acceptance terms feat(lib): add item automation options for dice, range, armor class, and healing bonuses fix(vite): configure proxy for API requests to local server
ae6870e | Cauê Araujo | caue.araujo.ti@gmail.com | feat: add admin base spells repository and localization for combat UI
49816f8 | Cauê Araujo | caue.araujo.ti@gmail.com | feat(combat): consolidate realtime turn-based combat, rolls, NPC statblocks and spellcasting
2070cd5 | Cauê Araujo | caue.araujo.ti@gmail.com | feat(character-sheet, sessions): implement GM-controlled rest system (short/long rest) + standardize PHB data (races, classes, backgrounds) + realtime fixes
9295edb | Cauê Araujo | caue.araujo.ti@gmail.com | feat: major refactor of catalog architecture, spell/item standardization, progression system and realtime improvements
ee55056 | Cauê Araujo | caue.araujo.ti@gmail.com | wip: progresso parcial das alterações.
3e98552 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: major refactor of shop architecture, UX improvements, landing page and data flow optimization
bae754b | Cauê Araujo | caue.araujo.ti@gmail.com | feat(realtime,sessions): persist session runtime and fix Centrifugo realtime infrastructure
85364e4 | Cauê Araujo | caue.araujo.ti@gmail.com | Introduces Centrifugo-based realtime infrastructure while preserving legacy websocket implementation for a later cleanup PR. Migrates the main frontend realtime hooks and backend broadcast paths to Centrifugo, with REST-based client actions and publish-after-commit semantics. Build/type validation passed, but runtime verification of presence, recovery, reconnect behavior, and multi-tab scenarios is still required before Phase 2 cleanup.
2cdb43b | Cauê Araujo | caue.araujo.ti@gmail.com | refactor: update component styles and improve type handling across various pages
c2e5416 | Cauê Araujo | caue.araujo.ti@gmail.com | feat: add PlayerPartyPage and update routing for campaign and shop pages
90dc3d2 | Cauê Araujo | caue.araujo.ti@gmail.com | Refactoring endpoints to facilitate future maintenance
5587abb | Cauê Araujo | caue.araujo.ti@gmail.com | chore: add full project sources (backend + frontend)
530b344 | Cauê Araujo | caue.araujo.ti@gmail.com | Remove unused session state endpoints
d9f8e57 | Cauê Araujo | caue.araujo.ti@gmail.com | Migrate frontend API calls to new routes
a8559c3 | Cauê Araujo | caue.araujo.ti@gmail.com | Add new session/member/shop routes with deprecation
9164d95 | Cauê Araujo | caue.araujo.ti@gmail.com | Initial commit
